"arquivo","data","distribuidora_r_mil","periodo","referencia","divida_liquida_regulatorios","ebitda_ajst","qrr","fluxo_do_acionista","brl_ajustada_ipca","percent_div_reg_x_brl","dlr_ebitda_ajst_qrr","ebitda_ajst_vpb_reg","pmso_ajustado_pmso_regulatorio","capex_u4_5a","qrr_u4_5a","ebit_ajst_ebit_reg_brl","setoriais_constituicao_ebitda_reg","fluxo_acionista_brl_x_cap_proprio","perdas_realizadas","dgc","perdas_regulatorias","mercado_cagr_u5a","n_cagr_u5a"
"../../BaseDadosANEEL/Base em Excel//Indicadores Base 2018 2T 2018 08 22.xlsx",2011.91666666667,"AmE",201112,"AmE201112","1114626.9300700002",-344813.66977,42441.6644408007,"0",512601.472464123,"282958.19020973408","Ebitda Neg",-0.960750155272194,2.2696210563626,NA,"0",-0.429024122511319,NA,"0 / +","0.67451657410230048","0.86054568175652735","0.16737272075041154","7.8854504495503575E-2","0.129048665773555"
"../../BaseDadosANEEL/Base em Excel//Indicadores Base 2018 2T 2018 08 22.xlsx",2012.91666666667,"AmE",201212,"AmE201212","952530.29813000001",-626439.8583956,49196.7817906721,"-208340",548460.765134215,"302024.6984634726","Ebitda Neg",-1.50652627808821,2.06834863218855,NA,"0",-0.867957312874141,NA,"- / +","0.39060340904671231","0.94895867330694128","0.17047816386821138","9.4674044033440596E-2",NA
"../../BaseDadosANEEL/Base em Excel//Indicadores Base 2018 2T 2018 08 22.xlsx",2013.91666666667,"AmE",201312,"AmE201312","1807414.9697000002",-568566.14984,50322.1002591242,"0",519973.451220388,"286482.40425957809","Ebitda Neg",-1.24567818070407,2.15431061511801,NA,"193085.25627162392",-0.746334998397269,"0","0 / +","0.38577549350396811","0.82306767180711715","0.1783574524861356","9.9119845591670197E-2","0.120512693404869"
"../../BaseDadosANEEL/Base em Excel//Indicadores Base 2018 2T 2018 08 22.xlsx",2014.91666666667,"AmE",201412,"AmE201412","2342083.4620800004",-22908.4283,21976.2841876624,"0",260001.328716072,"142993.30099564951","Ebitda Neg",-0.0608970092537549,1.70965765330041,"2512914.7762861066","181088.26332412701",0.922120233289809,NA,"0 / +","0.38933343743469706","0.90476087235446967","0.20595736035750159","0.11158318143097468","0.14243214662100567"
"../../BaseDadosANEEL/Base em Excel//Indicadores Base 2018 2T 2018 08 22.xlsx",2015.91666666667,"AmE",201512,"AmE201512","1608574.63913",-1281225.2469872,22092.4501118662,"0",278634.234255979,"153338.40665050503","Ebitda Neg",-3.40904769042801,1.0707000478145,"2475042.0447478751","160868.63868463485",-4.11401943663449,NA,"0 / +","0.40283919074904412","0.76054218873020041","0.21330726427469265","2.5841477302280147E-2","9.5003858424691501E-4"
"../../BaseDadosANEEL/Base em Excel//Indicadores Base 2018 2T 2018 08 22.xlsx",2016.91666666667,"AmE",201612,"AmE201612","2085439.7523699999",-5075945.6914354,22946.4541840456,"-117446",306107.029238096,"168903.07797186988","Ebitda Neg",-12.8946664169917,13.8081602582574,"2024494.9408293373","136041.33455791051",-16.1599034326897,"0","- / +","0.43172719670408016","0.82978219912840956","0.23442961459035391","3.9930503993687916E-2","4.7975763290836193E-2"
"../../BaseDadosANEEL/Base em Excel//Indicadores Base 2018 1T 2018 08 06.xlsx",2017.16666666667,"AmE",201703,"AmE201703","2216884.59222",-360517.3556585,22956.8034958009,NA,311132.491149908,NA,"Ebitda Neg",-12.821452264567,10.9297154024886,NA,NA,-16.5638790377068,NA,NA,NA,NA,NA,"1.2438315428153102E-2",NA
"../../BaseDadosANEEL/Base em Excel//Indicadores Base 2018 2T 2018 08 22.xlsx",2017.41666666667,"AmE",201706,"AmE201706","2336194.7297699996",-559574.3686121,23030.5253596819,NA,317048.666122498,NA,"Ebitda Neg",-12.6145346004939,7.79817200125862,NA,NA,-16.068430095266,NA,NA,NA,NA,NA,"1.2438315428153102E-2",NA
"../../BaseDadosANEEL/Base em Excel//Indicadores Base 2017 3T 2018 02 20.xlsx",2017.66666666667,"AmE",201709,"AmE201709","2687132.4367000004",-4973770.1373371,23105.0573539351,NA,323029.854006875,NA,"Ebitda Neg",-12.5204829873208,6.53155138037167,NA,NA,-15.7245617540186,NA,NA,NA,NA,NA,NA,NA
"../../BaseDadosANEEL/Base em Excel//Indicadores Base 2018 2T 2018 08 22.xlsx",2017.91666666667,"AmE",201712,"AmE201712","2323428.2055799994",-1612831.879541,25967.7428059741,"-2764",326553.928262306,"178991.54165820353","Ebitda Neg",-3.60188971170621,4.95164572421857,"1021953.3542492541","103852.46670763307",-5.28216463123358,NA,"- / +","0.43669969111520851","0.70344463489502806","0.36513991889905301","1.2438315428153102E-2","6.1462557851467814E-2"
